Type,Full Name,Nickname,AgeMonth,Breed
Dog,Lola,Lola,132,Poodle Mix
Dog,Sophie,Sophie,24,Rottweiler
Cat,Stinky Pete,Pete And,216,Just A Regular Cat
Cat,Gozer,Gozey,144,Black Cat
Dog,Lily Potter,Lil,24,German Shepherd
Dog,Dougie Mcfly,Dougie,132,Cairn Terrier
Dog,Rileyroo,Riley,24,Mutt
Dog,Dobby,Boober,48,Pembroke Welsh Corgi
Cat,Sir Edward Julius Robert Kittybutt Iii,Eddie,192,Tiger Cat
Goldfish,Chu-chu,Chu chu,Unknown,Ranchu
Dog,Lando,Lando,60,Bernese Mountain Dog
Dog,Tucker Paul,Tuck Tuck,72,Pitbull
Dog,Schnitzel Von Krumm,Ninnel,132,Miniature Dachshund
Dog,Wrigley,Wriglry Pigley,156,Beagle
Dog,Wally,Wal,12,Golden Retriever
Dog,Snickers,Doodle,132,Beagle
Dog,Charlie,Charlie,108,Cockapoo
Dog,Pepper,Pep,2.375,Cocker Spaniel
Dog,Brownie,Brownie,156,Beagle
Cat,Maow,Kitkat,168,Unknown
Dog,Echo,Beck,36,Corgi Mix
Dog,Banky,Banky,120,Basset Hound
Dog,Koda,Koda,72,Chihuahua
Dog,Clifford,Cliff,72,Labrador Mix
Dog,Coco,Coco Bear,84,Morkie
Dog,Charlie,Charlie,96,Pitbull
Dog,Mojo,Moj,60,Chiweenie
Horse,Wizarding Wonder,Wizwo,144,Shire X Tb
Dog,Hank,Hank,24,Boxer Mix
Horse,Thunderhawk,Thunder,252,Spanish Mustang
Dog,Sebastian,Fritz,180,"Mixed - Italian Greyhound, Jack Russell"
Horse,Cielo,Piglet,48,Unknown
Cat,Bebop Vincent,Beebs,60,Domestic Short Hair
Horse,Thalia,Thalia,48,Unknown
Horse,Morganna La Fey,Morganna,180,Unknown
Cat,Maja,Maja,168,Unknown
Dog,Hank,Hanky,24,Yellow Lab
Dog,Ella,Ells Bells,174,Cocker Spaniel
Dog,Frappuccino,Frappie,84,Labradoodle
Horse,Texas Pony Smoke,Monster,24,Unknown
Dog,Gracie,Grace,144,Shitz Zu
Horse,Khan,Khan,36,Spanish Mustang
Dog,Phoebe,Phoebe,24,Goldendoodle
Dog,Uma Strawn Mcguire,Uma,48,Golden Mix
Dog,Buster,Boop Squared,156,Terrierist
Horse,Reno,Reno,Unknown,Unknown
Cat,Sketchy Missouri,Sketchy,144,Tortoise Shell
Dog,Eva Marie,Eva,36,Chihuahua
Horse,Boogieman,Boogie,60,Unknown
Dog,Mia Hamm,Mia,132,Golden Retriever
Cat,Charlie,Charile,216,Tabby
Dog,Alia Atreides,Allie,60,Mutt
Horse,Legacy,Legacy,180,Unknown
Horse,Mambo No. 5,Mambo,24,Spanish Mustang
Cat,Zoey,Zoe,48,Unknown
Dog,Lexie,Lex,2,Golden Retriever
Horse,Mato Mahui,Mato,24,Unknown
Dog,Bernard,Bernard,60,Boxer
Horse,Starflowers Jezebel,Jezebel,48,Spanish Mustang
Cat,Jenna Nicole Rhea Lopez Horn,Jenna Jenna,96,Unknown
Dog,Myles - His Roman Name Is Squirtacus Mylonius,Myles,120,Cockapoo
Horse,Diamond Lily,Lily,84,Unknown
Dog,Millie,Millie,114,"Mixed - Shepherd, Unknown"
Horse,Gypsy Rose Lee,Gypsy,72,Unknown
Goldfish,Butters,Butters,0.24,Goldfish
Dog,Bodhi,Bo,72,Golden Retriever
Dog,Mooch,Mooch,108,Terrier Mix
Dog,Piper,Pipes,48,"Mixed - Welsh Terrier, Poodle"
Cat,Ramona,Ramona,144,Unknown
Dog,Charles,Charlie,120,Corgi
Horse,Morning Glory,Glory,Unknown,Unknown
